id	image_type	year	title	image	description
3357	jpg	2023	See yellow, not red	https://amul.com/files/hits/amul-hits-3357.jpg	Tomato prices have gone through the roof! - (July'23)
3358	jpg	2023	Elon-e-jung!	https://amul.com/files/hits/amul-hits-3358.jpg	Mark vs Musk, Twitter vs Threads! - (July'23)
3356	jpg	2023	Our football's in safe hands!	https://amul.com/files/hits/amul-hits-3356.jpg	India win SAFF Championships for a record 9th time!- (July'23)
3355	jpg	2023	Andairy Pradesh!	https://amul.com/files/hits/amul-hits-3355.jpg	Amul unleashes White Revolution 2.0 in Andhra Pradesh! - (July'23)
3354	jpg	2023	Careless Bairstow or wicked keeper?	https://amul.com/files/hits/amul-hits-3354.jpg	Ashes and the run out controversy! - (July'23)
3353	jpg	2023	Gone with the windies!	https://amul.com/files/hits/amul-hits-3353.jpg	Former world champs fail to qualify for World Cup 2023!- (July'23)
3352	jpg	2023	Yeh mera Indiana, Yeh mera Indiana!	https://amul.com/files/hits/amul-hits-3352.jpg	Fifth and final instalment of blockbuster franchise releases in theatres! - (July'23)
3351	jpg	2023	Your ideas were utterly buttery delicious	https://amul.com/files/hits/amul-hits-3351.jpg	Tribute to the advertising legend, creator of the Amul girl... - (June'23)
3350	jpg	2023	From asanrise to asanset!	https://amul.com/files/hits/amul-hits-3350.jpg	Celebrating world yoga day! - (June'23)
3349	jpg	2023	Buddyminton!	https://amul.com/files/hits/amul-hits-3349.jpg	Star doubles team Satwiksairaj Rankireddy and Chirag Shetty win Indonesian Open, first Indians to win a Super 1000 event! - (June'23)
3348	jpg	2023	Cubesoorat record!	https://amul.com/files/hits/amul-hits-3348.jpg	Max Park breaks Rubik's Cube world record! - (June'23)
3347	jpg	2023	Guardiola of honour!	https://amul.com/files/hits/amul-hits-3347.jpg	Master manager leads Man City to a treble! - (June'23)
3346	jpg	2023	He goat the most titles!	https://amul.com/files/hits/amul-hits-3346.jpg	Djokovic's French Open win makes him the winner of the most Grand Slams- 23! - (June'23)
3345	jpg	2023	Ready, headset, go!	https://amul.com/files/hits/amul-hits-3345.jpg	New augmented reality equipment that seamlessly blends the real from the digital world! - (June'23)
3344	jpg	2023	Final kic for Ibrahimovic!	https://amul.com/files/hits/amul-hits-3344.jpg	Zlatan Ibrahimovic retires from football! - (June'23)
3343	jpg	2023	Say naa tu war!	https://amul.com/files/hits/amul-hits-3343.jpg	Ukrainian soldiers dance to Oscar winning, 'Naatu Naatu'! - (June'23)
3341	jpg	2023	Milk de sabko energy !	https://amul.com/files/hits/amul-hits-3341.jpg	Amul celebrates World Milk Day! - (June'23)
3342	jpg	2023	Chennai skipper kings!	https://amul.com/files/hits/amul-hits-3342.jpg	CSK win their 5th IPL title under MS Dhoni! - (June'23)
3340	jpg	2023	Powerliament!	https://amul.com/files/hits/amul-hits-3340.jpg	The new Sansad Bhavan! - (May'23)
3339	jpg	2023	Khilte hain gill yanaha!	https://amul.com/files/hits/amul-hits-3339.jpg	Shubman's scintillating batting takes Gujarat Titans to final! - (May'23)
3338	jpg	2023	She was the best...simply the best	https://amul.com/files/hits/amul-hits-3338.jpg	Tribute to the great pop music icon! - (May'23)
3337	jpg	2023	Now you currensee it, now you don't?	https://amul.com/files/hits/amul-hits-3337.jpg	Rs.2000 notes to be discontinued! - (May'23)
3336	jpg	2023	Jalte hain jiske liye	https://amul.com/files/hits/amul-hits-3336.jpg	The all India heat wave makes people sweat! - (May'23)
3335	jpg	2023	Yashash, wi think you're fab	https://amul.com/files/hits/amul-hits-3335.jpg	RR batsman smashes fastest ever 50 in IPL history! - (May'23)
3334	jpg	2023	Who will he pick? Who will he kick?	https://amul.com/files/hits/amul-hits-3334.jpg	Messi wooed by three football clubs! - (May'23)
3333	jpg	2023	Shubderman!	https://amul.com/files/hits/amul-hits-3333.jpg	Cricketer Gill lends his voice to Indian Spider-Man! - (May'23)
3332	jpg	2023	Royaltea needs regal butter!	https://amul.com/files/hits/amul-hits-3332.jpg	he coronation of King Charles! - (May'23)
